Num Hidden Units,Solver,y
4,adam,0.7074074074074074
4,adam,0.6462962962962963
4,adam,0.6518518518518519
4,adam,0.6462962962962963
4,adam,0.55
4,adam,0.7407407407407407
4,adam,0.7703703703703704
4,adam,0.7185185185185186
4,adam,0.6518518518518519
4,adam,0.7388888888888889
4,sgd,0.48518518518518516
4,sgd,0.5
4,sgd,0.5444444444444444
4,sgd,0.5222222222222223
4,sgd,0.38333333333333336
4,sgd,0.34074074074074073
4,sgd,0.5796296296296296
4,sgd,0.4537037037037037
4,sgd,0.5444444444444444
4,sgd,0.6259259259259259
64,adam,0.9611111111111111
64,adam,0.9574074074074074
64,adam,0.9611111111111111
64,adam,0.9537037037037037
64,adam,0.9611111111111111
64,adam,0.9537037037037037
64,adam,0.9648148148148148
64,adam,0.9592592592592593
64,adam,0.9611111111111111
64,adam,0.9537037037037037
64,sgd,0.9259259259259259
64,sgd,0.9037037037037037
64,sgd,0.9037037037037037
64,sgd,0.912962962962963
64,sgd,0.9074074074074074
64,sgd,0.9055555555555556
64,sgd,0.9092592592592592
64,sgd,0.9055555555555556
64,sgd,0.9037037037037037
64,sgd,0.9111111111111111
